Timestamp,Score,เพศ,อายุ  ,ท่านกำลังศึกษาอยู่ในระดับ,จังหวัดที่ท่านกำลังอาศัยอยู่ในปัจจุบัน,ปกติท่านเล่นมือถือ / คอมพิวเตอร์ เฉลี่ยต่อวันเท่าไร,ท่านดู Youtube เฉลี่ยต่อวันเท่าไร,ท่านชอบคอนเทนต์แนวไหนมากที่สุด,ท่านเคยรับชมคอนเทนต์ที่มีสปอนเซอร์ หรือ รับชม Ads แล้วไปซื้อหรือไม่,ท่านสมัครสมาชิก Youtube Premium หรือไม่,ท่านชอบดู Youtube Shorts หรือไม่,ท่านมีความคิดเห็นกับการการยิง Ads ของ Youtube,ท่านมีความพึงพอใจต่อการดู Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการดู Youtube Shorts มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการใช้งาน Youtube Premium มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อการรับชมคอนเทนต์ใน Youtube มากน้อยเพียงใด,ท่านมีความพึงพอใจต่อกับสิ่งที่ได้รับจากแอพพลิเคชัน Youtube ในภาพรวม มากน้อยเพียงใด
8/25/2023 8:48:23,0,หญิง,20 - 30 ปี,ต่ำกว่าปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,เคย,ไม่สมัคร,ชอบดู,เหมาะสม,1,2,0,2,2
8/25/2023 9:46:49,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,3,0,2,2
8/25/2023 10:11:53,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,6 - 9 ชั่วโมง,3 - 6 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,2,0,3,4
8/25/2023 11:57:17,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,1,0,1,1
8/25/2023 11:57:47,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,6 - 9 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,2,1,0,1,2
8/25/2023 11:59:11,0,หญิง,20 - 30 ปี,ปริญญาตรี,หนองคาย,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,3,3,0,3,4
8/25/2023 12:35:21,0,หญิง,31 - 40 ปี,ต่ำกว่าปริญญาตรี,ขอนแก่น,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,Vlog,ไม่เคย,ไม่สมัคร,ชอบดู,เหมาะสม,4,4,4,4,4
8/25/2023 12:36:01,0,หญิง,41 - 50 ปี,สูงกว่าปริญญาตรี,กรุงเทพมหานคร,6 - 9 ชั่วโมง,6 - 9 ชั่วโมง,บอร์ดเกม,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,โฆษณาไม่เหมาะกับกลุ่มเป้าหมายที่ได้รับโฆษณา,5,5,5,5,5
8/25/2023 12:36:47,0,หญิง,20 - 30 ปี,ปริญญาตรี,อุดรธานี,9 - 12 ชั่วโมง,9 - 12 ชั่วโมง,เพลง,เคย,สมัคร,ชอบดู,เหมาะสม,4,4,3,5,5
8/25/2023 13:24:47,0,หญิง,20 - 30 ปี,ปริญญาตรี,ขอนแก่น,น้อยกว่า 3 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,ทานอาหาร / ทำอาหาร,ไม่เคย,ไม่สมัคร,ไม่ชอบดู,เหมาะสม,3,4,5,3,4
8/25/2023 14:13:05,0,หญิง,10 - 20 ปี,ปริญญาตรี,นครราชสีมา,3 - 6 ชั่วโมง,น้อยกว่า 3 ชั่วโมง,เพลง,ไม่เคย,ไม่สมัคร,ชอบดู,Ads มีความถี่เกินไป,4,3,1,4,4
